Designator,Mid X,Mid Y,Layer
C180,88.9mm,34.29mm,T
C172,88.9mm,26.67mm,T
C159,74.8792mm,-2.3368mm,T
C160,74.676mm,8.128mm,T
C171,81.2292mm,2.2578mm,T
C134,81.026mm,11.9634mm,T
RP302,89.8652mm,76.2mm,T
R104,12.58573mm,84.7344mm,T
R123,13.2541mm,48.07859mm,T
R122,37.0183mm,49.1024mm,T
R129,9.09516mm,45.11397mm,T
U112,14.224mm,34.039mm,T
R128,15.8491mm,44.9126mm,T
R127,21.4606mm,44.87819mm,T
R126,35.45016mm,44.96939mm,T
U111,40.64mm,34.039mm,T
R125,42.2651mm,45.954mm,T
R124,42.8874mm,48.6464mm,T
R106,12.58574mm,88.54439mm,T
U107,12.64923mm,100.22161mm,T
R105,12.58573mm,92.3544mm,T
R136,32.9669mm,39.57542mm,T
L104,21.53923mm,65.4431mm,T
C105,58.6613mm,53.975mm,T
C106,58.6613mm,55.7784mm,T
Rgh1,28.11785mm,95.5421mm,T
C155,24.96823mm,71.1454mm,T
C156,24.96823mm,59.309mm,T
C157,17.42443mm,71.1454mm,T
C158,17.42443mm,59.309mm,T
U115,62.0616mm,54.8504mm,T
U106,72.0992mm,56.6928mm,T
U105,72.09207mm,68.7324mm,T
C1,83.5406mm,113.792mm,T
C2,100.37801mm,137.00531mm,T
R113,47.0639mm,44.64272mm,T
C304,73.8632mm,161.9504mm,T
J303,92.9894mm,149.5044mm,T
U303,85.8744mm,132.591mm,T
C310,76.581mm,162.0139mm,T
C303,81.9658mm,162.179mm,T
C309,79.375mm,161.9885mm,T
C302,86.868mm,161.9758mm,T
C308,89.5858mm,162.0393mm,T
C301,94.9706mm,162.2044mm,T
C307,92.3798mm,162.0139mm,T
RP301,89.8652mm,107.95mm,T
U306,83.59101mm,105.8736mm,T
U304,72.00939mm,133.3436mm,T
U305,72.94919mm,146.2722mm,T
U307,83.66721mm,77.5018mm,T
U308,83.59101mm,95.0278mm,T
J2,97.79mm,21.59mm,T
R160,26.8478mm,172.3009mm,T
R112,18.23719mm,169.63389mm,T
U114,21.8694mm,171.8818mm,T
R159,26.8732mm,181.1147mm,T
R111,18.26259mm,178.44769mm,T
U113,21.8948mm,180.6956mm,T
R165,51.308mm,72.1106mm,T
R172,88.9127mm,10.922mm,T
R173,88.9635mm,8.0264mm,T
