Designator,Mid X,Mid Y,Layer
,,,
R171,63.6397mm,60.325mm,T
R170,63.6397mm,58.3184mm,T
R167,80.5307mm,58.5978mm,T
R166,80.5307mm,56.642mm,T
R207,46.4719mm,164.8714mm,T
U207,55.0808mm,167.386mm,T
AR207,63.6677mm,166.2684mm,T
AC220,46.5481mm,168.783mm,T
AC221,46.5227mm,166.751mm,T
AC219,63.6677mm,168.0718mm,T
Rgk207,39.1496mm,167.0177mm,T
Q214,34.29mm,167.355mm,T
Q213,34.29mm,172.435mm,T
J1,97.79mm,97.79mm,T
U120,72.09206mm,80.2132mm,T
U119,56.63601mm,70.6518mm,T
U118,45.20601mm,70.6264mm,T
R157,60.0202mm,76.0349mm,T
R156,58.2422mm,76.0349mm,T
Z110,75.946mm,25.4mm,T
Z109,75.946mm,22.352mm,T
Z108,66.294mm,25.4mm,T
Z107,66.294mm,22.352mm,T
Z104,56.642mm,25.4mm,T
Z103,56.642mm,22.352mm,T
C183,72.05751mm,39.17819mm,T
C186,76.54351mm,34.96999mm,T
U108,72.1239mm,34.0556mm,T
C185,59.494mm,39.60828mm,T
C187,62.66751mm,35.37639mm,T
U109,58.24791mm,34.46199mm,T
U104,49.276mm,79.76mm,T
U101,60.9092mm,81.4324mm,T
R151,44.7294mm,78.6257mm,T
R150,42.9514mm,78.6257mm,T
R149,44.3738mm,58.9534mm,T
R144,51.7779mm,83.443mm,T
C130,53.2257mm,81.157mm,T
C129,53.2511mm,78.0542mm,T
C114,63.2714mm,76.9239mm,T
C112,56.7055mm,81.6102mm,T
C111,56.7817mm,85.217mm,T
C110,60.6679mm,85.4964mm,T
C107,49.0982mm,85.5258mm,T
U102,50.30279mm,59.7737mm,T
Vg101,34.29mm,182.8546mm,T
RP303,89.8652mm,93.98mm,T
Rgh2,24.28245mm,95.5675mm,T
Rgk206,39.3528mm,102.08674mm,T
Rgk205,39.4036mm,112.29754mm,T
Rgk204,39.429mm,122.53374mm,T
Rgk203,39.4798mm,132.71914mm,T
Rgk202,39.5052mm,142.77754mm,T
Rgk201,39.5052mm,152.91214mm,T
AC216,63.6341mm,110.21704mm,T
AC218,46.4891mm,108.89624mm,T
AC217,46.5145mm,110.92824mm,T
AR206,63.6341mm,108.41364mm,T
U206,55.0472mm,109.53124mm,T
R206,46.4383mm,107.01664mm,T
AC213,63.6341mm,118.34504mm,T
AC215,46.4891mm,117.02424mm,T
AC214,46.5145mm,119.05624mm,T
AR205,63.6341mm,116.54164mm,T
U205,55.0472mm,117.65924mm,T
R205,46.4383mm,115.14464mm,T
AC210,63.6341mm,126.47304mm,T
AC212,46.4891mm,125.15224mm,T
AC211,46.5145mm,127.18424mm,T
AR204,63.6341mm,124.66964mm,T
U204,55.0472mm,125.78724mm,T
R204,46.4383mm,123.27264mm,T
AC207,63.6341mm,134.60104mm,T
AC209,46.4891mm,133.28024mm,T
AC208,46.5145mm,135.31224mm,T
AR203,63.6341mm,132.79764mm,T
U203,55.0472mm,133.91524mm,T
R203,46.4383mm,131.40064mm,T
AC204,63.6341mm,142.72904mm,T
AC206,46.4891mm,141.40824mm,T
AC205,46.5145mm,143.44024mm,T
AR202,63.6341mm,140.92564mm,T
U202,55.0472mm,142.04324mm,T
R202,46.4383mm,139.52864mm,T
Ra206,24.2906mm,104.82994mm,T
Rc206,28.1006mm,104.82994mm,T
Ra205,24.2906mm,114.98994mm,T
Rc205,28.1006mm,114.98994mm,T
Ra204,24.29059mm,125.14994mm,T
Rc204,28.10059mm,125.14994mm,T
Ra203,24.29059mm,135.30994mm,T
Rc203,28.1006mm,135.30994mm,T
Rc202,28.1006mm,145.46994mm,T
Ra202,24.2906mm,145.46994mm,T
R201,46.4383mm,147.65664mm,T
U201,55.0472mm,150.17124mm,T
AR201,63.6341mm,149.05364mm,T
AC202,46.5145mm,151.56824mm,T
AC203,46.4891mm,149.53624mm,T
AC201,63.6341mm,150.85704mm,T
Q202,34.6456mm,153.24944mm,T
Q201,34.6456mm,158.32944mm,T
Q204,34.6456mm,143.08944mm,T
Q203,34.6456mm,148.16944mm,T
Q206,34.6456mm,132.92944mm,T
Q205,34.6456mm,138.00944mm,T
Q208,34.6456mm,122.76944mm,T
Q207,34.6456mm,127.84944mm,T
Q210,34.6456mm,112.60944mm,T
Q209,34.6456mm,117.68944mm,T
Q212,34.6456mm,102.44944mm,T
Q211,34.6456mm,107.52944mm,T
D104,38.0492mm,87.7784mm,T
Z101,37.1983mm,96.7486mm,T
Z105,33.54073mm,94.2848mm,T
R147,31.9944mm,87.26002mm,T
R114,64.9351mm,95.72925mm,T
D109,42.8498mm,93.04955mm,T
U103,56.6656mm,96.48022mm,T
D110,42.7482mm,99.98375mm,T
R107,64.9859mm,91.69065mm,T
R108,64.9605mm,93.72265mm,T
R131,47.4345mm,94.52442mm,T
R134,47.4345mm,92.23842mm,T
R110,64.9351mm,97.71045mm,T
R109,64.9351mm,99.71705mm,T
R138,47.4345mm,98.84242mm,T
R146,47.4345mm,101.12842mm,T
C117,65.2272mm,102.07925mm,T
Q102,27.6282mm,87.26002mm,T
R101,13.94463mm,106.4387mm,T
Q601,11.8974mm,111.7196mm,T
C178,88.9mm,18.8722mm,T
