Designator,Mid X,Mid Y
C622,56.79366mm,66.21441mm
C620,56.81906mm,64.46181mm
R630,60.04486mm,66.21441mm
R631,60.04486mm,64.43641mm
R607,53.85415mm,47.35444mm
R608,54.93365mm,43.12534mm
R611,64.17236mm,40.54724mm
R606,55.63215mm,47.35444mm
R605,54.93365mm,44.77634mm
R625,53.98115mm,53.01864mm
R623,59.75965mm,54.78394mm
R612,46.89346mm,43.53174mm
R613,50.06846mm,43.55714mm
R614,50.06846mm,41.77914mm
R615,55.03525mm,50.23734mm
R617,46.34736mm,50.37704mm
R616,54.98445mm,39.59474mm
R618,55.75915mm,52.99324mm
R610,54.95905mm,41.37274mm
U607,59.96575mm,46.95094mm
U614,69.60815mm,50.12134mm
U608,48.68415mm,46.79854mm
U609,59.96575mm,51.77694mm
U606,59.96575mm,40.55014mm
R629,60.01946mm,68.04274mm
RJ401,228.311mm,69.72762mm
LD401,220.76339mm,79.92161mm
R404,218.32499mm,80.56931mm
R403,219.19761mm,72.7456mm
U402,216.01922mm,71.75902mm
R401,219.19761mm,68.1736mm
U401,216.01922mm,67.18702mm
U404,203.7756mm,69.59858mm
U403,205.244mm,82.36mm
L402,189.49561mm,80.1242mm
U605,58.90729mm,58.26618mm
C621,56.74286mm,68.04274mm
U610,50.99575mm,66.17414mm
D602,49.05476mm,50.49914mm
U802,77.92174mm,67.53192mm
JP1,197.75001mm,7.15001mm
R609,65.97576mm,40.54724mm
C701,89.99146mm,95.27154mm
R702,93.28981mm,99.7331mm
R701,86.63866mm,95.29694mm
U711,88.35915mm,99.16874mm
U703,80.71756mm,99.09714mm
U713,74.75166mm,94.83734mm
TP701,76.30106mm,100.54955mm
R720,75.20886mm,88.71315mm
C704,89.99146mm,86.45774mm
R704,93.26441mm,91.4527mm
R703,86.66406mm,86.40694mm
U712,88.38455mm,90.68514mm
U704,80.74296mm,90.63314mm
R726,33.59335mm,72.20565mm
C719,39.05434mm,72.58893mm
C723,57.12386mm,72.46234mm
R732,60.34966mm,72.46234mm
R728,38.5311mm,69.92233mm
C722,57.09846mm,75.99341mm
C720,57.12386mm,74.24081mm
R730,60.34966mm,75.99341mm
R731,60.34966mm,74.21541mm
R707,35.72416mm,85.03695mm
R708,39.95326mm,86.11645mm
R711,42.53136mm,95.35515mm
R706,35.72416mm,86.81495mm
R705,38.30226mm,86.11645mm
R725,30.05996mm,85.16395mm
R723,28.29466mm,90.94245mm
R712,39.54686mm,78.07625mm
R713,39.52146mm,81.25125mm
R714,41.29946mm,81.25125mm
R715,32.84126mm,86.21805mm
R717,32.70156mm,77.53015mm
R716,43.48386mm,86.16725mm
R718,30.08536mm,86.94195mm
R710,41.70586mm,86.14185mm
U707,36.12766mm,91.14855mm
U714,32.95726mm,100.79094mm
U708,36.28006mm,79.86695mm
U709,31.30166mm,91.14855mm
U706,42.52846mm,91.14855mm
R729,60.32426mm,77.82174mm
U705,43.48954mm,71.82983mm
C721,57.04766mm,77.82174mm
U710,51.17355mm,74.81014mm
D702,32.57947mm,80.23754mm
R709,42.53136mm,97.15855mm
POWER,15.08181mm,51.132mm
LA105,20.71881mm,23.9776mm
LA104,30.32181mm,30.956mm
LA103,29.81381mm,69.056mm
LA102,30.32181mm,42.64mm
LA101,29.81381mm,52.8mm
CA181,34.8938mm,64.23mm
CA180,16.3518mm,29.94mm
CA179,25.7498mm,35.782mm
CA178,24.7338mm,64.738mm
CA177,34.8938mm,47.466mm
CA176,34.8938mm,57.626mm
CA175,25.2418mm,47.466mm
CA174,24.7338mm,58.134mm
CA150,25.9052mm,17.9198mm
CA142,35.732mm,35.782mm
AGND,39.38961mm,66.2874mm
JP2,133.75001mm,7.15001mm
JP3,69.75001mm,7.15001mm
JP4,70.25001mm,135.84999mm
JP6,198.25001mm,135.85001mm
U8,169.17961mm,50.4772mm
CA214,144.89051mm,21.8296mm
CA208,144.38251mm,23.4552mm
CA218,148.49731mm,21.855mm
CA212,148.77671mm,20.33099mm
CA204,158.11321mm,22.73943mm
CA203,158.0751mm,24.31423mm
CA206,158.09141mm,21.53681mm
CA205,158.10411mm,19.42861mm
CA202,154.11631mm,23.74661mm
CA201,154.10361mm,22.1762mm
CA210,128.31011mm,20.42319mm
CA216,128.03071mm,21.9472mm
CA209,123.9159mm,23.5474mm
CA215,124.42391mm,21.9218mm
CA211,138.63351mm,20.35279mm
CA217,138.35411mm,21.8768mm
CA207,134.2393mm,23.477mm
CA213,134.74731mm,21.8514mm
CA314,80.89051mm,21.8296mm
CA308,80.38251mm,23.4552mm
CA318,84.49731mm,21.855mm
CA312,84.77671mm,20.331mm
CA304,94.11321mm,22.73943mm
CA303,94.07511mm,24.31423mm
CA306,94.09141mm,21.53681mm
CA305,94.10411mm,19.42861mm
CA302,90.11631mm,23.74661mm
CA301,90.10361mm,22.17621mm
CA310,64.31011mm,20.4232mm
CA316,64.03071mm,21.9472mm
CA309,59.91591mm,23.5474mm
CA315,60.42391mm,21.9218mm
CA311,74.63351mm,20.3528mm
CA317,74.35411mm,21.8768mm
CA307,70.23931mm,23.477mm
CA313,70.74731mm,21.8514mm
