Designator,Mid X,Mid Y
RA228,145.81761mm,26.7318mm
RA229,147.03681mm,26.7318mm
RA230,148.28141mm,26.7572mm
UA201,156.14862mm,21.9262mm
RA202,160.14881mm,26.31201mm
RA201,160.14881mm,23.84821mm
RA234,127.81481mm,26.8494mm
RA233,126.57021mm,26.824mm
RA232,125.35101mm,26.824mm
RA231,124.08101mm,26.824mm
UA204,126.2628mm,22.011mm
RA222,130.65961mm,23.014mm
RA220,130.63421mm,25.6048mm
RA221,121.97281mm,23.1664mm
RA213,127.20521mm,17.5784mm
RA214,129.21181mm,15.775mm
RA212,125.55421mm,15.8004mm
RA211,123.82701mm,17.6038mm
RA226,138.13821mm,26.779mm
RA225,136.89361mm,26.7536mm
RA224,135.67441mm,26.7536mm
RA223,134.40441mm,26.7536mm
UA202,136.5862mm,21.9406mm
RA217,140.98301mm,22.9436mm
RA215,140.95761mm,25.5344mm
RA216,132.29621mm,23.096mm
RA205,137.52861mm,17.508mm
RA206,139.53521mm,15.7046mm
RA204,135.87761mm,15.73mm
RA203,134.15041mm,17.5334mm
DA201,115.6996mm,4.12318mm
FA201,115.67421mm,9.15419mm
RA307,80.29361mm,17.5116mm
RA308,82.02081mm,15.7082mm
RA310,85.67841mm,15.6828mm
RA309,83.67181mm,17.4862mm
RA319,78.43941mm,23.0742mm
RA318,87.10081mm,25.5126mm
RA335,87.12621mm,22.9218mm
UA303,82.72941mm,21.9188mm
RA327,80.54761mm,26.7318mm
RA328,81.81761mm,26.7318mm
RA329,83.03681mm,26.7318mm
RA330,84.28141mm,26.7572mm
UA301,92.14862mm,21.92621mm
RA302,96.14881mm,26.31201mm
RA301,96.14881mm,23.84821mm
RA334,63.81481mm,26.8494mm
RA333,62.57021mm,26.824mm
RA332,61.35101mm,26.824mm
RA331,60.08101mm,26.824mm
UA304,62.2628mm,22.011mm
RA322,66.65961mm,23.014mm
RA320,66.63421mm,25.6048mm
RA321,57.97281mm,23.1664mm
RA313,63.20521mm,17.5784mm
RA314,65.21181mm,15.775mm
RA312,61.55421mm,15.8004mm
RA311,59.82701mm,17.6038mm
RA326,74.13821mm,26.779mm
RA325,72.89361mm,26.7536mm
RA324,71.67441mm,26.7536mm
RA323,70.40441mm,26.7536mm
UA302,72.5862mm,21.9406mm
RA317,76.98301mm,22.9436mm
RA315,76.95761mm,25.5344mm
RA316,68.29621mm,23.096mm
RA305,73.52861mm,17.508mm
RA306,75.53521mm,15.7046mm
RA304,71.87761mm,15.73mm
RA303,70.15041mm,17.5334mm
DA301,51.6996mm,4.12319mm
FA301,51.67421mm,9.15419mm
CA127,143.88775mm,179.94329mm
CA130,143.92585mm,178.36849mm
CA126,143.96395mm,175.09189mm
CA125,143.90045mm,176.56509mm
CA128,139.55705mm,176.51429mm
CA129,139.51895mm,178.06369mm
CA227,79.63881mm,179.9433mm
CA230,79.67691mm,178.3685mm
CA226,79.71501mm,175.0919mm
CA225,79.65151mm,176.5651mm
CA228,75.30811mm,176.5143mm
CA229,75.27001mm,178.0637mm
CA427,97.81655mm,224.95353mm
CA430,97.77845mm,226.52833mm
CA426,97.74035mm,229.80493mm
CA425,97.80385mm,228.33173mm
CA428,102.14725mm,228.38253mm
CA429,102.18535mm,226.83313mm
CA527,186.11655mm,242.43813mm
CA530,186.07845mm,244.01293mm
CA526,186.04035mm,247.28953mm
CA525,186.10385mm,245.81633mm
CA528,190.44725mm,245.86713mm
CA529,190.48535mm,244.31773mm
RA908,137.8231mm,206.34811mm
RA906,140.4012mm,203.68111mm
CA924,136.9214mm,203.69381mm
CA923,138.6994mm,203.69381mm
RA904,105.61609mm,253.60344mm
RA903,107.54649mm,257.03244mm
RA902,107.59729mm,253.57804mm
CA915,110.83618mm,256.71748mm
UA901,111.10288mm,253.74569mm
RA901,114.73894mm,253.79357mm
CA922,137.61913mm,219.99314mm
RA911,140.96045mm,210.5651mm
LA906,144.07611mm,197.87577mm
CA902,157.68374mm,203.07813mm
CA907,142.73806mm,199.62692mm
CA904,156.39111mm,201.83075mm
LA907,148.54828mm,217.97358mm
LA904,159.76462mm,209.90033mm
LA902,153.97124mm,198.48482mm
LA903,148.4944mm,197.69617mm
RA907,141.10421mm,207.3977mm
UA902,148.83566mm,208.63411mm
CA909,146.70733mm,219.25776mm
CA906,158.39962mm,211.30125mm
CA917,155.01674mm,200.51273mm
CA905,149.65285mm,199.591mm
LA910,126.71379mm,255.91724mm
FA901,124.64369mm,251.05314mm
RA910,140.60973mm,213.05241mm
RA909,143.23044mm,214.7637mm
CA927,128.52989mm,251.05314mm
CA921,141.60935mm,217.37171mm
RA913,143.17145mm,223.34071mm
UA903,141.74905mm,220.47051mm
CA916,111.02629mm,250.36494mm
CA914,117.60489mm,254.22574mm
RA918,113.00461mm,240.6782mm
UA905,108.14341mm,245.5902mm
RA920,115.62081mm,245.9614mm
RA919,114.37621mm,244.6914mm
RA922,103.14941mm,245.936mm
RA923,104.06381mm,241.5926mm
RA921,103.12401mm,247.1806mm
UA906,108.14341mm,241.6532mm
RA915,143.58285mm,252.4609mm
CA929,139.50623mm,249.17531mm
UA904,139.23953mm,252.14711mm
RA914,135.60347mm,252.09923mm
CA930,139.31611mm,255.52785mm
CA928,132.73751mm,251.66705mm
JP102,129.57001mm,102.77mm
