Designator,Mid X,Mid Y,Layer
,,,
J801,160.3651mm,95.758mm,T
CA872,154.9019mm,94.4626mm,T
CA861,154.9019mm,95.3516mm,T
CA844,154.9019mm,96.2152mm,T
CA842,154.9019mm,97.0788mm,T
LA802,157.30221mm,100.5586mm,T
RA832,157.94991mm,91.5416mm,T
JP401A,91.35001mm,263.73mm,T
JP501A,155.35mm,263.73mm,T
JP601A,219.35001mm,263.73mm,T
JP101A,176.65mm,161.27mm,T
JP301A,48.65mm,161.27mm,T
JP201A,112.65001mm,161.27mm,T
U901,102.90382mm,98.67558mm,T
U902,101.05332mm,112.70162mm,T
U903,90.21615mm,112.91524mm,T
J901,105.64041mm,89.1474mm,T
R722,68.19806mm,96.24415mm,T
R721,68.17541mm,98.5454mm,T
R740,71.47466mm,91.88805mm,T
U721,68.37343mm,90.90289mm,T
R622,86.38446mm,70.13295mm,T
R621,86.38721mm,72.4342mm,T
R640,89.53406mm,66.03085mm,T
U621,86.55983mm,64.79169mm,T
U805,70.88594mm,80.23192mm,T
U804,70.86054mm,67.53192mm,T
U803,77.94714mm,80.18112mm,T
J12,229.03701mm,47.7984mm,T
C291,222.4008mm,55.0568mm,T
U65,214.73mm,50.2308mm,T
R230,222.63621mm,48.6366mm,T
R231,222.477mm,44.4015mm,T
CA614,187.10952mm,121.17042mm,T
CA608,187.61752mm,119.54482mm,T
CA618,183.50272mm,121.14502mm,T
CA612,183.22331mm,122.66902mm,T
CA604,173.88682mm,120.26059mm,T
CA603,173.92492mm,118.68579mm,T
CA606,173.90861mm,121.4632mm,T
CA605,173.89591mm,123.5714mm,T
CA602,177.88371mm,119.2534mm,T
CA601,177.89641mm,120.82381mm,T
CA610,203.68992mm,122.57682mm,T
CA616,203.96932mm,121.05282mm,T
CA609,208.08412mm,119.45262mm,T
CA615,207.57612mm,121.07822mm,T
CA611,193.36651mm,122.64722mm,T
CA617,193.64592mm,121.12322mm,T
CA607,197.76072mm,119.52301mm,T
CA613,197.25272mm,121.14862mm,T
CA514,123.10951mm,121.17041mm,T
CA508,123.61751mm,119.54481mm,T
CA518,119.50271mm,121.14501mm,T
CA512,119.22331mm,122.66901mm,T
CA504,109.88681mm,120.26058mm,T
CA503,109.92492mm,118.68578mm,T
CA506,109.90861mm,121.46319mm,T
CA505,109.89591mm,123.57139mm,T
CA502,113.88371mm,119.25339mm,T
CA501,113.89641mm,120.8238mm,T
CA510,139.68991mm,122.57681mm,T
CA516,139.96931mm,121.05281mm,T
CA509,144.08411mm,119.45261mm,T
CA515,143.57611mm,121.07821mm,T
CA511,129.36651mm,122.64721mm,T
CA517,129.64591mm,121.12321mm,T
CA507,133.76071mm,119.523mm,T
CA513,133.25271mm,121.14861mm,T
CA414,59.10951mm,121.1704mm,T
CA408,59.61751mm,119.5448mm,T
CA418,55.50271mm,121.145mm,T
CA412,55.22331mm,122.669mm,T
CA404,45.88681mm,120.26057mm,T
CA403,45.92492mm,118.68577mm,T
CA406,45.90861mm,121.46319mm,T
CA405,45.89591mm,123.57139mm,T
CA402,49.88371mm,119.25339mm,T
CA401,49.89641mm,120.82379mm,T
CA410,75.68991mm,122.5768mm,T
CA416,75.96931mm,121.0528mm,T
CA409,80.08411mm,119.4526mm,T
CA415,79.57611mm,121.0782mm,T
CA411,65.36651mm,122.6472mm,T
CA417,65.64591mm,121.1232mm,T
CA407,69.76071mm,119.523mm,T
CA413,69.25271mm,121.1486mm,T
CA113,198.74731mm,21.8514mm,T
CA107,198.2393mm,23.477mm,T
CA117,202.35411mm,21.8768mm,T
CA111,202.63351mm,20.35279mm,T
CA115,188.42391mm,21.9218mm,T
CA109,187.9159mm,23.5474mm,T
CA116,192.03071mm,21.9472mm,T
CA110,192.31011mm,20.42319mm,T
CA101,218.10361mm,22.1762mm,T
CA102,218.11631mm,23.74661mm,T
CA105,222.10411mm,19.42861mm,T
CA106,222.09141mm,21.53681mm,T
CA103,222.0751mm,24.31423mm,T
CA104,222.11321mm,22.73943mm,T
CA112,212.77671mm,20.33099mm,T
CA118,212.49731mm,21.855mm,T
CA108,208.3825mm,23.4552mm,T
CA114,208.89051mm,21.8296mm,T
JP5,134.25001mm,135.85mm,T
UA805,157.73872mm,49.8349mm,T
RA805,157.62442mm,45.9233mm,T
RA806,158.55159mm,54.31807mm,T
RA811,124.31486mm,56.7056mm,T
RA810,124.10252mm,48.38854mm,T
UA804,124.23968mm,51.95469mm,T
RA808,118.29506mm,58.7249mm,T
RA807,156.16392mm,54.2926mm,T
CA862,123.17288mm,65.69864mm,T
CA856,123.17288mm,77.75093mm,T
CA857,123.17288mm,71.73113mm,T
CA825,120.83608mm,77.63664mm,T
UA806,162.68086mm,49.28702mm,T
RA819,163.45626mm,52.78891mm,T
RA820,161.52586mm,52.76352mm,T
CA826,120.83608mm,71.89624mm,T
CA845,120.83608mm,65.72403mm,T
RA814,143.29552mm,40.84802mm,T
LEDA801,139.17564mm,42.01642mm,T
JA802,118.56389mm,87.88814mm,T
JA801,121.25522mm,96.74533mm,T
Y801,127.42133mm,89.68265mm,T
UA801,137.28925mm,76.39973mm,T
RA804,117.97858mm,48.31234mm,T
UA803,118.11574mm,51.8785mm,T
RA835,139.28998mm,62.86654mm,T
RA834,136.11498mm,62.86654mm,T
RA839,150.14666mm,59.34212mm,T
UA809,138.11666mm,51.87793mm,T
CA864,152.50403mm,56.87801mm,T
CA866,151.28965mm,48.01372mm,T
CA867,149.56476mm,55.61045mm,T
RA837,152.35593mm,54.93793mm,T
UA807,151.07173mm,51.67673mm,T
C601,106.14586mm,54.65694mm,T
R602,109.36801mm,59.1185mm,T
R601,102.79306mm,54.68234mm,T
U611,104.51355mm,58.55414mm,T
U603,96.87196mm,58.48254mm,T
U613,103.92615mm,41.90614mm,T
TP601,94.38641mm,65.1764mm,T
R620,97.80196mm,41.44894mm,T
C604,106.14586mm,45.89394mm,T
R604,109.41881mm,50.7365mm,T
R603,102.81846mm,45.84314mm,T
U612,104.53895mm,50.12134mm,T
U604,96.89736mm,50.06934mm,T
DGND,42.29101mm,32.4612mm,T
+5.2VD,24.52881mm,10.1346mm,T
J3,163.85721mm,40.5572mm,T
C805,98.09835mm,80.71572mm,T
R814,104.44835mm,65.51382mm,T
R813,102.67035mm,65.51382mm,T
R812,95.62185mm,70.14932mm,T
R811,95.62185mm,71.92732mm,T
R810,95.62185mm,75.20392mm,T
R809,95.62185mm,76.98192mm,T
C808,100.51135mm,80.72842mm,T
U801,103.62934mm,73.10212mm,T
R808,102.64495mm,80.60142mm,T
R815,104.42295mm,80.60142mm,T
C803,106.78515mm,65.83132mm,T
C804,100.33355mm,65.83132mm,T
C806,97.69195mm,65.78052mm,T
U806,86.80088mm,80.25558mm,T
R803,99.98888mm,85.06074mm,T
R804,94.43976mm,80.92583mm,T
TP802,101.04298mm,83.43514mm,T
TP801,92.45856mm,79.61773mm,T
R626,49.78401mm,56.9595mm,T
C619,54.4721mm,59.02528mm,T
C623,56.81906mm,62.68334mm,T
R632,60.04486mm,62.68334mm,T
R628,53.94886mm,56.35868mm,T
C622,56.79366mm,66.21441mm,T
C620,56.81906mm,64.46181mm,T
R630,60.04486mm,66.21441mm,T
R631,60.04486mm,64.43641mm,T
R607,53.85415mm,47.35444mm,T
R608,54.93365mm,43.12534mm,T
R611,64.17236mm,40.54724mm,T
R606,55.63215mm,47.35444mm,T
R605,54.93365mm,44.77634mm,T
R625,53.98115mm,53.01864mm,T
R623,59.75965mm,54.78394mm,T
R612,46.89346mm,43.53174mm,T
R613,50.06846mm,43.55714mm,T
R614,50.06846mm,41.77914mm,T
R615,55.03525mm,50.23734mm,T
R617,46.34736mm,50.37704mm,T
R616,54.98445mm,39.59474mm,T
R618,55.75915mm,52.99324mm,T
R610,54.95905mm,41.37274mm,T
U607,59.96575mm,46.95094mm,T
U614,69.60815mm,50.12134mm,T
U608,48.68415mm,46.79854mm,T
U609,59.96575mm,51.77694mm,T
U606,59.96575mm,40.55014mm,T
R629,60.01946mm,68.04274mm,T
RJ401,228.311mm,69.72762mm,T
LD401,220.76339mm,79.92161mm,T
R404,218.32499mm,80.56931mm,T
R403,219.19761mm,72.7456mm,T
U402,216.01922mm,71.75902mm,T
R401,219.19761mm,68.1736mm,T
U401,216.01922mm,67.18702mm,T
U404,203.7756mm,69.59858mm,T
U403,205.244mm,82.36mm,T
L402,189.49561mm,80.1242mm,T
U605,58.90729mm,58.26618mm,T
C621,56.74286mm,68.04274mm,T
U610,50.99575mm,66.17414mm,T
D602,49.05476mm,50.49914mm,T
U802,77.92174mm,67.53192mm,T
JP1,197.75001mm,7.15001mm,T
R609,65.97576mm,40.54724mm,T
C701,89.99146mm,95.27154mm,T
R702,93.28981mm,99.7331mm,T
R701,86.63866mm,95.29694mm,T
U711,88.35915mm,99.16874mm,T
U703,80.71756mm,99.09714mm,T
U713,74.75166mm,94.83734mm,T
TP701,76.30106mm,100.54955mm,T
R720,75.20886mm,88.71315mm,T
C704,89.99146mm,86.45774mm,T
R704,93.26441mm,91.4527mm,T
R703,86.66406mm,86.40694mm,T
U712,88.38455mm,90.68514mm,T
U704,80.74296mm,90.63314mm,T
R726,33.59335mm,72.20565mm,T
C719,39.05434mm,72.58893mm,T
C723,57.12386mm,72.46234mm,T
R732,60.34966mm,72.46234mm,T
R728,38.5311mm,69.92233mm,T
C722,57.09846mm,75.99341mm,T
C720,57.12386mm,74.24081mm,T
R730,60.34966mm,75.99341mm,T
R731,60.34966mm,74.21541mm,T
R707,35.72416mm,85.03695mm,T
R708,39.95326mm,86.11645mm,T
R711,42.53136mm,95.35515mm,T
R706,35.72416mm,86.81495mm,T
R705,38.30226mm,86.11645mm,T
R725,30.05996mm,85.16395mm,T
R723,28.29466mm,90.94245mm,T
R712,39.54686mm,78.07625mm,T
R713,39.52146mm,81.25125mm,T
R714,41.29946mm,81.25125mm,T
R715,32.84126mm,86.21805mm,T
R717,32.70156mm,77.53015mm,T
R716,43.48386mm,86.16725mm,T
R718,30.08536mm,86.94195mm,T
R710,41.70586mm,86.14185mm,T
U707,36.12766mm,91.14855mm,T
U714,32.95726mm,100.79094mm,T
U708,36.28006mm,79.86695mm,T
U709,31.30166mm,91.14855mm,T
U706,42.52846mm,91.14855mm,T
R729,60.32426mm,77.82174mm,T
U705,43.48954mm,71.82983mm,T
C721,57.04766mm,77.82174mm,T
U710,51.17355mm,74.81014mm,T
D702,32.57947mm,80.23754mm,T
R709,42.53136mm,97.15855mm,T
POWER,15.08181mm,51.132mm,T
LA105,20.71881mm,23.9776mm,T
LA104,30.32181mm,30.956mm,T
LA103,29.81381mm,69.056mm,T
LA102,30.32181mm,42.64mm,T
LA101,29.81381mm,52.8mm,T
CA181,34.8938mm,64.23mm,T
CA180,16.3518mm,29.94mm,T
CA179,25.7498mm,35.782mm,T
CA178,24.7338mm,64.738mm,T
CA177,34.8938mm,47.466mm,T
CA176,34.8938mm,57.626mm,T
CA175,25.2418mm,47.466mm,T
CA174,24.7338mm,58.134mm,T
CA150,25.9052mm,17.9198mm,T
CA142,35.732mm,35.782mm,T
AGND,39.38961mm,66.2874mm,T
JP2,133.75001mm,7.15001mm,T
JP3,69.75001mm,7.15001mm,T
JP4,70.25001mm,135.84999mm,T
JP6,198.25001mm,135.85001mm,T
U8,169.17961mm,50.4772mm,T
CA214,144.89051mm,21.8296mm,T
CA208,144.38251mm,23.4552mm,T
CA218,148.49731mm,21.855mm,T
CA212,148.77671mm,20.33099mm,T
CA204,158.11321mm,22.73943mm,T
CA203,158.0751mm,24.31423mm,T
CA206,158.09141mm,21.53681mm,T
CA205,158.10411mm,19.42861mm,T
CA202,154.11631mm,23.74661mm,T
CA201,154.10361mm,22.1762mm,T
CA210,128.31011mm,20.42319mm,T
CA216,128.03071mm,21.9472mm,T
CA209,123.9159mm,23.5474mm,T
CA215,124.42391mm,21.9218mm,T
CA211,138.63351mm,20.35279mm,T
CA217,138.35411mm,21.8768mm,T
CA207,134.2393mm,23.477mm,T
CA213,134.74731mm,21.8514mm,T
CA314,80.89051mm,21.8296mm,T
CA308,80.38251mm,23.4552mm,T
CA318,84.49731mm,21.855mm,T
CA312,84.77671mm,20.331mm,T
CA304,94.11321mm,22.73943mm,T
CA303,94.07511mm,24.31423mm,T
CA306,94.09141mm,21.53681mm,T
CA305,94.10411mm,19.42861mm,T
CA302,90.11631mm,23.74661mm,T
CA301,90.10361mm,22.17621mm,T
CA310,64.31011mm,20.4232mm,T
CA316,64.03071mm,21.9472mm,T
CA309,59.91591mm,23.5474mm,T
CA315,60.42391mm,21.9218mm,T
CA311,74.63351mm,20.3528mm,T
CA317,74.35411mm,21.8768mm,T
CA307,70.23931mm,23.477mm,T
CA313,70.74731mm,21.8514mm,T
JM601,83.56601mm,59.182mm,T
JM602,83.56601mm,53.086mm,T
JM603,83.56601mm,46.99mm,T
JM604,83.56601mm,40.894mm,T
JM701,55.11801mm,102.108mm,T
JM702,55.11801mm,95.758mm,T
JM703,55.11801mm,89.662mm,T
JM704,55.11801mm,83.312mm,T
JP102A,129.57001mm,243.77mm,T
UA115,142.09035mm,177.6491mm,T
RA151,146.04675mm,172.85669mm,T
RA152,146.02135mm,175.42209mm,T
UA215,77.84141mm,177.64911mm,T
RA251,81.79781mm,172.8567mm,T
RA252,81.77241mm,175.4221mm,T
UA415,99.61395mm,227.24772mm,T
RA451,95.65755mm,232.04013mm,T
RA452,95.68295mm,229.47473mm,T
UA515,187.91395mm,244.73232mm,T
RA551,183.95755mm,249.52473mm,T
RA552,183.98295mm,246.95933mm,T
RA912,147.5259mm,217.14311mm,T
CA925,146.421mm,219.84821mm,T
CA926,148.199mm,219.84821mm,T
CA920,149.34365mm,200.26481mm,T
RA905,156.48924mm,203.41893mm,T
CA910,147.62611mm,214.1854mm,T
LA901,153.58669mm,210.79859mm,T
CA911,146.2139mm,212.81915mm,T
CA919,150.32051mm,203.60875mm,T
CA901,151.02732mm,212.87302mm,T
CA918,151.74291mm,204.95495mm,T
CA913,143.35818mm,209.96342mm,T
CA912,144.63337mm,211.49007mm,T
LA905,143.13822mm,207.20194mm,T
CA908,145.711mm,205.43737mm,T
LA909,140.22407mm,208.57148mm,T
LA908,138.0564mm,210.95622mm,T
CA903,153.14234mm,206.33402mm,T
CA935,106.39454mm,244.91593mm,T
CA932,109.73207mm,244.55834mm,T
RA916,112.89031mm,244.2596mm,T
CA933,109.78287mm,241.00234mm,T
RA917,112.91571mm,241.0592mm,T
CA934,106.36914mm,241.00433mm,T
CA931,155.35772mm,202.31288mm,T
